과목,강좌명,강사,강좌구분,난이도,링크
국어,[올림포스] 독서와 작문 (2022 개정),차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000948
국어,[올림포스] 화법과 언어 (2022 개정),김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000949
국어,"[(고1, 2를 위한) 2028 수능개념] 최서희의 국어 담판",최서희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000810
국어,"[(고1, 2를 위한) 2028 수능개념] 한병훈의 퀀텀점프",한병훈,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000811
국어,"[(고1, 2를 위한) 2028 수능개념] 이현진의 화언장담 - 화법과 언어",이현진,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000812
국어,"[(고1, 2를 위한) 2028 수능개념] 김철회의 알고리즘 독서와 작문",김철회,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000813
국어,"[(고1, 2를 위한) 2028 수능개념] 남궁민의 개기일식 문학",남궁민,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000814
국어,[국어의 원리] 고전 시가 독해,조은아,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000726
국어,[국어의 원리] 고전 시가 독해 워크북,김진원,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000727
국어,[국어의 원리] 현대시 독해,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000728
국어,[국어의 원리] 독서,차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000729
국어,[국어의 원리] 수능 국어 문법,김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000730
국어,[2026 올림포스 전국연합학력평가 기출문제집] 국어(고1),김민정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000716
국어,[1등급 2주 특강] 고1 학평 기출 - 국어(2학기 기말 대비),이현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000777
국어,"[2026년, 내 등급은?] 예비고1 국어",이영현,입문,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000587
